["port 1","LEFT"]
["port 2","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9226533645533522e+14 4.5586310275896828e-03 -1.9573934622673055e+00
1.9228735709336638e+14 4.5473417179784769e-03 -1.9411771978296917e+00
1.9230937773139750e+14 4.5361288211200109e-03 -1.9249194109812982e+00
1.9233139836942866e+14 4.5249951355163945e-03 -1.9086203713246022e+00
1.9235341900745981e+14 4.5139434211735330e-03 -1.8922803651679525e+00
1.9237543964549094e+14 4.5029763980952431e-03 -1.8758996956339982e+00
1.9239746028352209e+14 4.4920967447941813e-03 -1.8594786827501075e+00
1.9241948092155322e+14 4.4813070967796020e-03 -1.8430176635241722e+00
1.9244150155958438e+14 4.4706100450626687e-03 -1.8265169920032585e+00
1.9246352219761550e+14 4.4600081346653220e-03 -1.8099770393155370e+00
1.9248554283564666e+14 4.4495038631281658e-03 -1.7933981936912746e+00
1.9250756347367778e+14 4.4390996790353394e-03 -1.7767808604701598e+00
1.9252958411170894e+14 4.4287979805376328e-03 -1.7601254620843985e+00
1.9255160474974006e+14 4.4186011139094299e-03 -1.7434324380260933e+00
1.9257362538777122e+14 4.4085113720811501e-03 -1.7267022447915328e+00
1.9259564602580238e+14 4.3985309932317133e-03 -1.7099353558065455e+00
1.9261766666383350e+14 4.3886621593658276e-03 -1.6931322613304787e+00
1.9263968730186466e+14 4.3789069949241441e-03 -1.6762934683368205e+00
1.9266170793989578e+14 4.3692675654188875e-03 -1.6594195003759697e+00
1.9268372857792694e+14 4.3597458760813472e-03 -1.6425108974108849e+00
1.9270574921595806e+14 4.3503438705452258e-03 -1.6255682156339670e+00
1.9272776985398922e+14 4.3410634295569630e-03 -1.6085920272595775e+00
1.9274979049202034e+14 4.3319063697124221e-03 -1.5915829202938312e+00
1.9277181113005150e+14 4.3228744422267422e-03 -1.5745414982821189e+00
1.9279383176808262e+14 4.3139693317452536e-03 -1.5574683800319071e+00
1.9281585240611378e+14 4.3051926551798689e-03 -1.5403641993149504e+00
1.9283787304414491e+14 4.2965459605955802e-03 -1.5232296045438385e+00
1.9285989368217606e+14 4.2880307261307501e-03 -1.5060652584269483e+00
1.9288191432020722e+14 4.2796483589607930e-03 -1.4888718376007573e+00
1.9290393495823834e+14 4.2714001943128365e-03 -1.4716500322390056e+00
1.9292595559626950e+14 4.2632874945184177e-03 -1.4544005456393638e+00
1.9294797623430062e+14 4.2553114481217518e-03 -1.4371240937882510e+00
1.9296999687233178e+14 4.2474731690374766e-03 -1.4198214049055402e+00
1.9299201751036291e+14 4.2397736957577956e-03 -1.4024932189655535e+00
1.9301403814839406e+14 4.2322139906188017e-03 -1.3851402871986656e+00
1.9303605878642519e+14 4.2247949391186774e-03 -1.3677633715742303e+00
1.9305807942445634e+14 4.2175173492988100e-03 -1.3503632442613009e+00
1.9308010006248747e+14 4.2103819511750736e-03 -1.3329406870737595e+00
1.9310212070051862e+14 4.2033893962423715e-03 -1.3154964908945885e+00
1.9312414133854978e+14 4.1965402570244992e-03 -1.2980314550859613e+00
1.9314616197658091e+14 4.1898350267087986e-03 -1.2805463868799036e+00
1.9316818261461206e+14 4.1832741188239193e-03 -1.2630421007568291e+00
1.9319020325264319e+14 4.1768578669970488e-03 -1.2455194178072113e+00
1.9321222389067434e+14 4.1705865247680905e-03 -1.2279791650816418e+00
1.9323424452870547e+14 4.1644602654837045e-03 -1.2104221749274910e+00
1.9325626516673662e+14 4.1584791822435506e-03 -1.1928492843155707e+00
1.9327828580476775e+14 4.1526432879257554e-03 -1.1752613341546194e+00
1.9330030644279891e+14 4.1469525152774203e-03 -1.1576591686001743e+00
1.9332232708083003e+14 4.1414067170745528e-03 -1.1400436343519962e+00
1.9334434771886119e+14 4.1360056663513828e-03 -1.1224155799487729e+00
1.9336636835689231e+14 4.1307490567004850e-03 -1.1047758550550681e+00
1.9338838899492347e+14 4.1256365026369601e-03 -1.0871253097445819e+00
1.9341040963295462e+14 4.1206675400397375e-03 -1.0694647937824981e+00
1.9343243027098575e+14 4.1158416266564102e-03 -1.0517951559047722e+00
1.9345445090901691e+14 4.1111581426760396e-03 -1.0341172430969439e+00
1.9347647154704803e+14 4.1066163913684953e-03 -1.0164318998769437e+00
1.9349849218507919e+14 4.1022155997979129e-03 -9.9873996757636530e-01
1.9352051282311031e+14 4.0979549195964615e-03 -9.8104228363012158e-01
1.9354253346114147e+14 4.0938334277953953e-03 -9.6333968086561184e-01
1.9356455409917259e+14 4.0898501277435544e-03 -9.4563298680475993e-01
1.9358657473720375e+14 4.0860039500599556e-03 -9.2792302296699058e-01
1.9360859537523488e+14 4.0822937536689171e-03 -9.1021060418548727e-01
1.9363061601326603e+14 4.0787183268832065e-03 -8.9249653793183437e-01
1.9365263665129719e+14 4.0752763885524186e-03 -8.7478162365085099e-01
1.9367465728932831e+14 4.0719665892653351e-03 -8.5706665210874500e-01
1.9369667792735947e+14 4.0687875126089092e-03 -8.3935240475446138e-01
1.9371869856539059e+14 4.0657376764757069e-03 -8.2163965309385067e-01
1.9374071920342175e+14 4.0628155344273132e-03 -8.0392915808020438e-01
1.9376273984145288e+14 4.0600194771071435e-03 -7.8622166952067762e-01
1.9378476047948403e+14 4.0573478337003607e-03 -7.6851792549905806e-01
1.9380678111751516e+14 4.0547988734301417e-03 -7.5081865181742224e-01
1.9382880175554631e+14 4.0523708071154192e-03 -7.3312456145506810e-01
1.9385082239357744e+14 4.0500617887498994e-03 -7.1543635404683470e-01
1.9387284303160859e+14 4.0478699171293073e-03 -6.9775471538188027e-01
1.9389486366963975e+14 4.0457932375192931e-03 -6.8008031692314885e-01
1.9391688430767088e+14 4.0438297433434620e-03 -6.6241381534648880e-01
1.9393890494570203e+14 4.0419773779135082e-03 -6.4475585210194619e-01
1.9396092558373316e+14 4.0402340361921389e-03 -6.2710705299689540e-01
1.9398294622176431e+14 4.0385975665621476e-03 -6.0946802780148646e-01
1.9400496685979544e+14 4.0370657726478010e-03 -5.9183936987607544e-01
1.9402698749782659e+14 4.0356364151376027e-03 -5.7422165582176254e-01
1.9404900813585772e+14 4.0343072136328623e-03 -5.5661544515254324e-01
1.9407102877388888e+14 4.0330758485150053e-03 -5.3902127999225835e-01
1.9409304941192000e+14 4.0319399628277229e-03 -5.2143968479328917e-01
1.9411507004995116e+14 4.0308971641696348e-03 -5.0387116607713101e-01
1.9413709068798231e+14 4.0299450265943847e-03 -4.8631621220120658e-01
1.9415911132601344e+14 4.0290810925294436e-03 -4.6877529314414429e-01
1.9418113196404459e+14 4.0283028746883210e-03 -4.5124886031728928e-01
1.9420315260207572e+14 4.0276078579904078e-03 -4.3373734639410261e-01
1.9422517324010688e+14 4.0269935014915275e-03 -4.1624116516941745e-01
1.9424719387813800e+14 4.0264572402969349e-03 -3.9876071143042213e-01
1.9426921451616916e+14 4.0259964874865533e-03 -3.8129636085607244e-01
1.9429123515420028e+14 4.0256086360283593e-03 -3.6384846993610925e-01
1.9431325579223144e+14 4.0252910606867016e-03 -3.4641737590901578e-01
1.9433527643026256e+14 4.0250411199215111e-03 -3.2900339672009848e-01
1.9435729706829372e+14 4.0248561577870901e-03 -3.1160683100410658e-01
1.9437931770632484e+14 4.0247335057994231e-03 -2.9422795807696728e-01
1.9440133834435600e+14 4.0246704848094896e-03 -2.7686703795612166e-01
1.9442335898238716e+14 4.0246644068552767e-03 -2.5952431139399312e-01
1.9444537962041828e+14 4.0247125769915879e-03 -2.4219999992878494e-01
1.9446740025844944e+14 4.0248122951150184e-03 -2.2489430595223409e-01
1.9448942089648056e+14 4.0249608577562126e-03 -2.0760741279554376e-01
1.9451144153451172e+14 4.0251555598623838e-03 -1.9033948482667559e-01
1.9453346217254284e+14 4.0253936965558654e-03 -1.7309066756910441e-01
1.9455548281057400e+14 4.0256725648651851e-03 -1.5586108782441904e-01
1.9457750344860512e+14 4.0259894654428386e-03 -1.3865085381979664e-01
1.9459952408663628e+14 4.0263417042482883e-03 -1.2146005536156114e-01
1.9462154472466741e+14 4.0267265942178247e-03 -1.0428876400119109e-01
1.9464356536269856e+14 4.0271414568934863e-03 -8.7137033214678847e-02
1.9466558600072972e+14 4.0275836240399069e-03 -7.0004898592328890e-02
1.9468760663876084e+14 4.0280504392278208e-03 -5.2892378038738704e-02
1.9470962727679200e+14 4.0285392593878136e-03 -3.5799471980553735e-02
1.9473164791482312e+14 4.0290474563390334e-03 -1.8726163585377934e-02
1.9475366855285428e+14 4.0295724182878813e-03 -1.6724189884683585e-03
1.9477568919088541e+14 4.0301115513036055e-03 1.5361812474876989e-02
1.9479770982891656e+14 4.0306622807493716e-03 3.2376598027298482e-02
1.9481973046694769e+14 4.0312220527051476e-03 4.9372021202258913e-02
1.9484175110497884e+14 4.0317883353391624e-03 6.6348181591974489e-02
1.9486377174300997e+14 4.0323586202684241e-03 8.3305194587761644e-02
1.9488579238104112e+14 4.0329304238748889e-03 1.0024319111910597e-01
1.9490781301907225e+14 4.0335012886005342e-03 1.1716231738409921e-01
1.9492983365710341e+14 4.0340687842075427e-03 1.3406273458140183e-01
1.9495185429513456e+14 4.0346305090126506e-03 1.5094461863366063e-01
1.9497387493316569e+14 4.0351840910869278e-03 1.6780815991322612e-01
1.9499589557119684e+14 4.0357271894296423e-03 1.8465356296212995e-01
1.9501791620922797e+14 4.0362574951091695e-03 2.0148104621225013e-01
1.9503993684725912e+14 4.0367727323812495e-03 2.1829084170260618e-01
1.9506195748529025e+14 4.0372706597662554e-03 2.3508319479669132e-01
1.9508397812332141e+14 4.0377490711126706e-03 2.5185836389977001e-01
1.9510599876135253e+14 4.0382057966174799e-03 2.6861662017410776e-01
1.9512801939938369e+14 4.0386387038283461e-03 2.8535824725561437e-01
1.9515004003741481e+14 4.0390456986177771e-03 3.0208354097070861e-01
1.9517206067544597e+14 4.0394247261161410e-03 3.1879280905336110e-01
1.9519408131347712e+14 4.0397737716397373e-03 3.3548637086415789e-01
1.9521610195150825e+14 4.0400908615742370e-03 3.5216455710812655e-01
1.9523812258953941e+14 4.0403740642372000e-03 3.6882770955746230e-01
1.9526014322757053e+14 4.0406214907174965e-03 3.8547618077280738e-01
1.9528216386560169e+14 4.0408312956862367e-03 4.0211033382740052e-01
1.9530418450363281e+14 4.0410016781875875e-03 4.1873054203486026e-01
1.9532620514166397e+14 4.0411308823928589e-03 4.3533718867548643e-01
1.9534822577969509e+14 4.0412171983476262e-03 4.5193066672820875e-01
1.9537024641772625e+14 4.0412589626786042e-03 4.6851137860262915e-01
1.9539226705575738e+14 4.0412545592905845e-03 4.8507973587482789e-01
1.9541428769378853e+14 4.0412024200322813e-03 5.0163615902513581e-01
1.9543630833181969e+14 4.0411010253462781e-03 5.1818107717812023e-01
1.9545832896985081e+14 4.0409489048884271e-03 5.3471492784691033e-01
1.9548034960788197e+14 4.0407446381356066e-03 5.5123815667671672e-01
1.9550237024591309e+14 4.0404868549667608e-03 5.6775121719446875e-01
1.9552439088394425e+14 4.0401742362273906e-03 5.8425457055971564e-01
1.9554641152197538e+14 4.0398055142690983e-03 6.0074868531730763e-01
1.9556843216000653e+14 4.0393794734708381e-03 6.1723403715387315e-01
1.9559045279803766e+14 4.0388949507506522e-03 6.3371110865672842e-01
1.9561247343606881e+14 4.0383508360433530e-03 6.5018038907429809e-01
1.9563449407409994e+14 4.0377460727693193e-03 6.6664237407932170e-01
1.9565651471213109e+14 4.0370796582851467e-03 6.8309756553585210e-01
1.9567853535016222e+14 4.0363506443129252e-03 6.9954647126467728e-01
