["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9358657473720375e+14 5.5340503572559848e-03 2.7638219063104219e+00
1.9360859537523488e+14 5.4731994819817546e-03 2.8408432581518079e+00
1.9363061601326603e+14 5.4213620991480976e-03 2.9188733394718378e+00
1.9365263665129719e+14 5.3789590331882065e-03 2.9977800799900889e+00
1.9367465728932831e+14 5.3463555300570119e-03 3.0774117781122401e+00
1.9369667792735947e+14 5.3238521347388039e-03 3.1575994692264642e+00
1.9371869856539059e+14 5.3116768107192569e-03 3.2381602353269567e+00
1.9374071920342175e+14 5.3099787976815657e-03 3.3189013280109649e+00
1.9376273984145288e+14 5.3188246170806190e-03 3.3996248920332586e+00
1.9378476047948403e+14 5.3381965001972655e-03 3.4801330099332319e+00
1.9380678111751516e+14 5.3679933439816840e-03 3.5602327512720504e+00
1.9382880175554631e+14 5.4080341176428685e-03 3.6397409095024797e+00
1.9385082239357744e+14 5.4580634708752684e-03 3.7184881454505554e+00
1.9387284303160859e+14 5.5177591543840521e-03 3.7963223223847509e+00
1.9389486366963975e+14 5.5867407701607388e-03 3.8731109021528631e+00
1.9391688430767088e+14 5.6645793293525855e-03 3.9487423613788888e+00
1.9393890494570203e+14 5.7508071074911229e-03 4.0231266685625418e+00
1.9396092558373316e+14 5.8449273408953447e-03 4.0961949277472378e+00
1.9398294622176431e+14 5.9464233909210492e-03 4.1678983373160676e+00
1.9400496685979544e+14 6.0547670997745271e-03 4.2382066328421590e+00
1.9402698749782659e+14 6.1694261598704671e-03 4.3071061836478606e+00
1.9404900813585772e+14 6.2898704083533463e-03 4.3745978985890375e+00
1.9407102877388888e+14 6.4155770330923609e-03 4.4406950730612360e+00
1.9409304941192000e+14 6.5460347336587258e-03 4.5054212813520156e+00
1.9411507004995116e+14 6.6807469203316889e-03 4.5688083902103038e+00
1.9413709068798231e+14 6.8192340580022926e-03 4.6308947436501464e+00
1.9415911132601344e+14 6.9610352728007993e-03 4.6917235470971912e+00
1.9418113196404459e+14 7.1057093403700681e-03 4.7513414616280718e+00
1.9420315260207572e+14 7.2528351689831660e-03 4.8097974061934758e+00
1.9422517324010688e+14 7.4020118808239633e-03 4.8671415568568586e+00
1.9424719387813800e+14 7.5528585824164779e-03 4.9234245265571053e+00
1.9426921451616916e+14 7.7050139022536461e-03 4.9786967059791793e+00
1.9429123515420028e+14 7.8581353609419712e-03 5.0330077451131299e+00
1.9431325579223144e+14 8.0118986273150731e-03 5.0864061554227158e+00
1.9433527643026256e+14 8.1659967034069698e-03 5.1389390137298623e+00
1.9435729706829372e+14 8.3201390720020162e-03 5.1906517506245287e+00
1.9437931770632484e+14 8.4740508326958189e-03 5.2415880081345438e+00
1.9440133834435600e+14 8.6274718459492059e-03 5.2917895533735324e+00
1.9442335898238716e+14 8.7801558993599073e-03 5.3412962367908579e+00
1.9444537962041828e+14 8.9318699061351949e-03 5.3901459854350922e+00
1.9446740025844944e+14 9.0823931424593978e-03 5.4383748232178677e+00
1.9448942089648056e+14 9.2315165278091891e-03 5.4860169115834294e+00
1.9451144153451172e+14 9.3790419503400682e-03 5.5331046052005997e+00
1.9453346217254284e+14 9.5247816379103178e-03 5.5796685183155592e+00
1.9455548281057400e+14 9.6685575743041992e-03 5.6257375982931404e+00
1.9457750344860512e+14 9.8102009593645078e-03 5.6713392035820380e+00
1.9459952408663628e+14 9.9495517112342755e-03 5.7164991839520134e+00
1.9462154472466741e+14 1.0086458008562475e-02 5.7612419613320087e+00
1.9464356536269856e+14 1.0220775870335010e-02 5.8055906099845629e+00
1.9466558600072972e+14 1.0352368770847359e-02 5.8495669350692454e+00
1.9468760663876084e+14 1.0481107287360377e-02 5.8931915489083408e+00
1.9470962727679200e+14 1.0606868778015059e-02 5.9364839444726991e+00
1.9473164791482312e+14 1.0729537087632709e-02 5.9794625657679585e+00
1.9475366855285428e+14 1.0849002279144886e-02 6.0221448749262763e+00
