["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9224331581730409e+14 3.7690786495218460e-02 -2.5542434336584385e+00
1.9226533645533522e+14 3.7650766142447653e-02 -2.5411172489685847e+00
1.9228735709336638e+14 3.7610794480492746e-02 -2.5279894781756984e+00
1.9230937773139750e+14 3.7570873972892452e-02 -2.5148601495962972e+00
1.9233139836942866e+14 3.7531007025867244e-02 -2.5017292928456198e+00
1.9235341900745981e+14 3.7491195988038427e-02 -2.4885969388455900e+00
1.9237543964549094e+14 3.7451443150167095e-02 -2.4754631198331492e+00
1.9239746028352209e+14 3.7411750744918516e-02 -2.4623278693675306e+00
1.9241948092155322e+14 3.7372120946648768e-02 -2.4491912223374483e+00
1.9244150155958438e+14 3.7332555871215894e-02 -2.4360532149677692e+00
1.9246352219761550e+14 3.7293057575812479e-02 -2.4229138848258076e+00
1.9248554283564666e+14 3.7253628058825046e-02 -2.4097732708269235e+00
1.9250756347367778e+14 3.7214269259712808e-02 -2.3966314132403159e+00
1.9252958411170894e+14 3.7174983058914500e-02 -2.3834883536933966e+00
1.9255160474974006e+14 3.7135771277774295e-02 -2.3703441351767034e+00
1.9257362538777122e+14 3.7096635678493736e-02 -2.3571988020474439e+00
1.9259564602580238e+14 3.7057577964107545e-02 -2.3440524000333567e+00
1.9261766666383350e+14 3.7018599778485303e-02 -2.3309049762355687e+00
1.9263968730186466e+14 3.6979702706347241e-02 -2.3177565791309456e+00
1.9266170793989578e+14 3.6940888273318109e-02 -2.3046072585744373e+00
1.9268372857792694e+14 3.6902157945990874e-02 -2.2914570658002695e+00
1.9270574921595806e+14 3.6863513132023268e-02 -2.2783060534233037e+00
1.9272776985398922e+14 3.6824955180254422e-02 -2.2651542754391185e+00
1.9274979049202034e+14 3.6786485380845300e-02 -2.2520017872244242e+00
1.9277181113005150e+14 3.6748104965440523e-02 -2.2388486455361338e+00
1.9279383176808262e+14 3.6709815107360468e-02 -2.2256949085105844e+00
1.9281585240611378e+14 3.6671616921807412e-02 -2.2125406356618122e+00
1.9283787304414491e+14 3.6633511466104295e-02 -2.1993858878793309e+00
1.9285989368217606e+14 3.6595499739946760e-02 -2.1862307274257038e+00
1.9288191432020722e+14 3.6557582685692244e-02 -2.1730752179330262e+00
1.9290393495823834e+14 3.6519761188653653e-02 -2.1599194243994178e+00
1.9292595559626950e+14 3.6482036077436948e-02 -2.1467634131846758e+00
1.9294797623430062e+14 3.6444408124285857e-02 -2.1336072520051723e+00
1.9296999687233178e+14 3.6406878045451146e-02 -2.1204510099288316e+00
1.9299201751036291e+14 3.6369446501600337e-02 -2.1072947573688676e+00
1.9301403814839406e+14 3.6332114098218703e-02 -2.0941385660773739e+00
1.9303605878642519e+14 3.6294881386065327e-02 -2.0809825091383596e+00
1.9305807942445634e+14 3.6257748861631377e-02 -2.0678266609598372e+00
1.9308010006248747e+14 3.6220716967622309e-02 -2.0546710972660649e+00
1.9310212070051862e+14 3.6183786093473870e-02 -2.0415158950882528e+00
1.9312414133854978e+14 3.6146956575878145e-02 -2.0283611327558551e+00
1.9314616197658091e+14 3.6110228699339580e-02 -2.0152068898862430e+00
1.9316818261461206e+14 3.6073602696745699e-02 -2.0020532473744761e+00
1.9319020325264319e+14 3.6037078749965624e-02 -1.9889002873824289e+00
1.9321222389067434e+14 3.6000656990467346e-02 -1.9757480933269658e+00
1.9323424452870547e+14 3.5964337499957991e-02 -1.9625967498682189e+00
1.9325626516673662e+14 3.5928120311041319e-02 -1.9494463428966560e+00
1.9327828580476775e+14 3.5892005407901877e-02 -1.9362969595201018e+00
1.9330030644279891e+14 3.5855992727003939e-02 -1.9231486880498150e+00
1.9332232708083003e+14 3.5820082157816638e-02 -1.9100016179863331e+00
1.9334434771886119e+14 3.5784273543555484e-02 -1.8968558400046280e+00
1.9336636835689231e+14 3.5748566681944934e-02 -1.8837114459387367e+00
1.9338838899492347e+14 3.5712961326003885e-02 -1.8705685287657623e+00
1.9341040963295462e+14 3.5677457184842408e-02 -1.8574271825895610e+00
